;dia_semana;horario;uf;br;km;municipio;classificacao_acidente;sentido_via;condicao_metereologica;tipo_pista;uso_solo;latitude;longitude;ponte;declive;desvio_temporario;aclive;rotatoria;viaduto;curva;em_obras;reta;retorno_regulamentado;tunel;intersecao_de_vias;pista_molhada;ano;mes;dia;feriado;turno;vel_max;vel_min;latitude_radar;longitude_radar;altimetria_ponto;altimetria_antes;altimetria_depois;distancia_radar;proba_fatal;proba_leve;proba_feridos
460680;0.0;0.7879003558718862;MG;40.0;0.19903691813804172;0.8405479452054794;1;0.0;0.0;0.0;0.0;-18.11429113;-45.45822411;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.6363636363636364;0.6333333333333333;0.359375;0.6666666666666666;0.0;0.0;0.6374797269036052;0.0;0.3716594157862026;0.3729024238657551;0.3775252525252526;0.9750452782309855;0.06377268;0.4747688;0.4614585
456114;0.3333333333333333;0.4462633451957296;MG;40.0;0.11717495987158909;0.4783561643835616;2;0.5;0.2;1.0;0.0;-17.76031425;-46.15533115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.5454545454545454;0.8666666666666667;0.171875;0.3333333333333333;0.8571428571428572;1.0;0.6374797269036052;0.0;0.5307644499689248;0.5326289620882535;0.5391414141414141;0.9750452782309855;0.05641385;0.23652743;0.70705867
461909;0.0;0.7736654804270463;MG;40.0;0.40930979133226325;0.7534246575342465;1;0.0;0.2;0.0;0.0;-19.77463885;-44.12321882;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.6363636363636364;0.8666666666666667;0.4140625;0.6666666666666666;1.0;1.0;0.6374797269036052;0.0;0.5431945307644499;0.5475450590428838;0.5517676767676768;0.9750452782309855;0.05080061;0.2770752;0.6721242
459103;0.8333333333333333;0.6491103202846975;MG;40.0;0.6058587479935794;0.30904109589041096;1;0.0;0.2;0.0;0.0;-21.47980333;-43.54250614;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6363636363636364;0.3666666666666667;0.296875;1.0;1.0;1.0;0.6374797269036052;0.0;0.5357364822871349;0.5357364822871349;0.5435606060606061;0.9750452782309855;0.027877115;0.21426533;0.75785756
420874;0.16666666666666666;0.8306049822064058;MG;40.0;0.22552166934189405;0.9468493150684931;1;0.5;0.6000000000000001;1.0;1.0;-18.24214561;-45.2080525;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.578125;0.6666666666666666;0.0;0.0;0.6374797269036052;0.0;0.4717215661901802;0.4717215661901802;0.47601010101010105;0.9750452782309855;0.058753986;0.16556025;0.7756858
479004;0.5;0.29679715302491105;MG;40.0;0.41252006420545745;0.7534246575342465;1;0.0;0.2;0.0;1.0;-19.80151928;-44.10000333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9090909090909091;0.8666666666666667;0.59375;0.3333333333333333;1.0;1.0;0.6374797269036052;0.0;0.5469235550031075;0.5605966438781852;0.5555555555555556;0.9750452782309855;0.0209207;0.16959931;0.80948
485968;0.5;0.9516014234875445;MG;40.0;0.5626003210272873;0.08493150684931507;1;0.5;0.2;0.0;1.0;-21.18449034;-43.7528965;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9090909090909091;0.6333333333333333;0.5390625;0.6666666666666666;0.0;0.0;0.6374797269036052;0.0;0.7004350528278434;0.7004350528278434;0.711489898989899;0.9750452782309855;0.102972545;0.3862601;0.5107674
468616;0.5;0.5637010676156584;MG;40.0;0.42215088282504015;0.25095890410958904;1;0.5;0.6000000000000001;0.0;1.0;-19.89383034;-44.0496397;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.8181818181818182;0.03333333333333333;0.421875;1.0;1.0;1.0;0.6374797269036052;0.0;0.5369794903666874;0.5369794903666874;0.5397727272727273;0.9750452782309855;0.039226852;0.13153227;0.82924086
473346;0.3333333333333333;0.9373665480427047;MG;40.0;0.15497592295345103;0.4783561643835616;0;0.0;0.0;1.0;0.0;-18.00452103;-45.86983899;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.8181818181818182;0.8333333333333334;0.4453125;0.6666666666666666;0.8571428571428572;1.0;0.6374797269036052;0.0;0.48788067122436296;0.48788067122436296;0.4943181818181819;0.9750452782309855;0.07448263;0.3467951;0.57872224
453930;0.8333333333333333;0.7665480427046264;MG;40.0;0.11075441412520064;0.4783561643835616;0;0.5;0.2;1.0;0.0;-17.72754024;-46.21430838;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5454545454545454;0.4666666666666667;0.078125;0.6666666666666666;0.8571428571428572;1.0;0.6374797269036052;0.0;0.41516469857054067;0.41516469857054067;0.41856060606060613;0.9750452782309855;0.08159572;0.2512106;0.66719365
441910;0.8333333333333333;0.3750889679715303;MG;40.0;0.4740770465489567;0.4202739726027397;1;0.5;0.2;0.0;1.0;-20.36807799;-43.90982881;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.4;0.59375;0.3333333333333333;1.0;1.0;0.6374797269036052;0.0;0.6942200124300808;0.6848974518334369;0.7051767676767677;0.9750452782309855;0.020122016;0.2359999;0.74387807
